Reporting Area,MMWR Year,MMWR Week,"Mumps, Current week","Mumps, Current week, flag","Mumps, Previous 52 weeks Max†","Mumps, Previous 52 weeks Max†, flag","Mumps, Cum 2020†","Mumps, Cum 2020†, flag","Mumps, Cum 2019†","Mumps, Cum 2019†, flag","Novel influenza A virus infections§, Current week","Novel influenza A virus infections§, Current week, flag","Novel influenza A virus infections§, Previous 52 weeks Max†","Novel influenza A virus infections§, Previous 52 weeks Max†, flag","Novel influenza A virus infections§, Cum 2020†","Novel influenza A virus infections§, Cum 2020†, flag","Novel influenza A virus infections§, Cum 2019†","Novel influenza A virus infections§, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
U.S. VIRGIN ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200268,POINT (-64.840836 18.060868)
NON-US RESIDENTS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200269,
TOTAL,2020,2,10,,110,,23,,52,,,-,0,,,-,,-,,TOTAL,20200270,
MIDDLE ATLANTIC,2020,3,3,,55,,13,,9,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20200309,
CALIFORNIA,2020,3,,-,23,,5,,8,,,-,0,,,-,,-,CALIFORNIA,,20200359,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,3,,-,1,,,-,1,,,-,0,,,-,,-,WEST VIRGINIA,,20200337,POINT (-80.613729 38.642579)
FLORIDA,2020,3,,-,21,,2,,1,,,-,0,,,-,,-,FLORIDA,,20200331,POINT (-82.420978 28.260731)
MONTANA,2020,3,,-,5,,,-,,-,,-,0,,,-,,-,MONTANA,,20200352,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,3,,-,23,,7,,10,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200320,
MASSACHUSETTS,2020,3,,-,5,,,-,8,,,-,0,,,-,,-,MASSACHUSETTS,,20200305,POINT (-71.481104 42.151077)
MOUNTAIN,2020,3,1,,13,,3,,9,,,-,0,,,-,,-,,MOUNTAIN,20200348,
INDIANA,2020,3,,-,13,,,-,1,,,-,0,,,-,,-,INDIANA,,20200316,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200369,
US TERRITORIES,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200363,
EAST SOUTH CENTRAL,2020,5,,-,21,,,-,5,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200538,
NORTH DAKOTA,2020,5,,-,3,,,-,5,,,-,0,,,-,,-,NORTH DAKOTA,,20200526,POINT (-100.46931 47.446305)
NEVADA,2020,5,,-,0,,,-,1,,,-,0,,,-,,-,NEVADA,,20200553,POINT (-114.916992 39.283294)
ILLINOIS,2020,5,,-,7,,3,,15,,,-,0,,,-,,-,ILLINOIS,,20200515,POINT (-89.148632 40.124144)
IOWA,2020,5,,-,2,,,-,3,,,-,0,,,-,,-,IOWA,,20200521,POINT (-93.500061 42.074659)
TEXAS,2020,5,,-,42,,1,,24,,,-,0,,,-,,-,TEXAS,,20200547,POINT (-99.317341 31.447238)
ALASKA,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,ALASKA,,20200558,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,5,,-,1,,,-,1,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200530,POINT (-77.016275 38.904785)
WASHINGTON,2020,5,,-,4,,,-,1,,,-,0,,,-,,-,WASHINGTON,,20200562,POINT (-120.592492 47.411715)
RHODE ISLAND,2020,5,,-,2,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200507,POINT (-71.534637 41.572574)
OREGON,2020,5,,-,5,,1,,,-,,-,0,,,-,,-,OREGON,,20200561,POINT (-120.605279 43.940449)
DELAWARE,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200529,POINT (-75.452394 38.994926)
ALABAMA,2020,5,,-,2,,,-,,-,,-,0,,,-,,-,ALABAMA,,20200539,POINT (-86.844516 32.756889)
KANSAS,2020,5,,-,2,,,-,,-,,-,0,,,-,,-,KANSAS,,20200522,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,5,1,,18,,4,,,-,,-,0,,,-,,-,NORTH CAROLINA,,20200534,POINT (-79.130883 35.52603)
GUAM,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200566,POINT (144.653198 13.3532)
NEW JERSEY,2020,5,,-,5,,,-,5,,,-,0,,,-,,-,NEW JERSEY,,20200510,POINT (-74.655514 40.110253)
NEW MEXICO,2020,5,,-,8,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20200554,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,5,2,,17,,11,,33,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20200514,
TENNESSEE,2020,5,,-,21,,,-,2,,,-,0,,,-,,-,TENNESSEE,,20200542,POINT (-86.343226 35.842998)
CONNECTICUT,2020,5,,-,5,,10,,,-,,-,0,,,-,,-,CONNECTICUT,,20200503,POINT (-72.738288 41.575155)
MARYLAND,2020,5,,-,3,,,-,,-,,-,0,,,-,,-,MARYLAND,,20200533,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,5,,-,19,,8,,1,,,-,0,,,-,,-,SOUTH CAROLINA,,20200535,POINT (-80.864614 33.878572)
OKLAHOMA,2020,5,,-,2,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20200546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200565,POINT (145.725693 15.1834)
OHIO,2020,5,2,,4,,5,,14,,,-,0,,,-,,-,OHIO,,20200518,POINT (-82.70936 40.415534)
MINNESOTA,2020,5,,-,6,,1,,1,,,-,0,,,-,,-,MINNESOTA,,20200523,POINT (-94.198308 46.349153)
LOUISIANA,2020,5,,-,19,,,-,15,,,-,0,,,-,,-,LOUISIANA,,20200545,POINT (-91.840238 30.921314)
HAWAII,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,HAWAII,,20200560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,5,1,,28,,18,,8,,,-,0,,,-,,-,,SOUTH ATLANTIC,20200528,
PENNSYLVANIA,2020,5,1,,50,,10,,4,,,-,0,,,-,,-,PENNSYLVANIA,,20200513,POINT (-77.838886 40.896694)
UTAH,2020,5,,-,4,,,-,5,,,-,0,,,-,,-,UTAH,,20200555,POINT (-111.678222 39.323779)
COLORADO,2020,5,,-,6,,1,,7,,,-,0,,,-,,-,COLORADO,,20200550,POINT (-105.547832 38.998552)
VERMONT,2020,5,,-,1,,2,,2,,,-,0,,,-,,-,VERMONT,,20200508,POINT (-72.662695 44.075252)
KENTUCKY,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20200540,POINT (-85.290484 37.526683)
PUERTO RICO,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200567,POINT (-66.414655 18.215692)
MAINE,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,MAINE,,20200504,POINT (-69.06137 45.117911)
VIRGINIA,2020,5,,-,5,,3,,1,,,-,0,,,-,,-,VIRGINIA,,20200536,POINT (-78.666382 37.510861)
ARIZONA,2020,5,,-,10,,3,,1,,,-,0,,,-,,-,ARIZONA,,20200549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200564,
WISCONSIN,2020,5,,-,6,,1,,1,,,-,0,,,-,,-,WISCONSIN,,20200519,POINT (-89.732969 44.639954)
IDAHO,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,IDAHO,,20200551,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200568,POINT (-64.840836 18.060868)
MICHIGAN,2020,5,,-,4,,,-,1,,,-,0,,,-,,-,MICHIGAN,,20200517,POINT (-85.730977 44.874798)
GEORGIA,2020,5,,-,2,,,-,2,,,-,0,,,-,,-,GEORGIA,,20200532,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,5,,-,7,,7,,7,,,-,0,,,-,,-,,NEW YORK CITY,20200512,
ARKANSAS,2020,5,,-,13,,,-,1,,,-,0,,,-,,-,ARKANSAS,,20200544,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,5,,-,5,,,-,3,,,-,0,,,-,,-,MISSISSIPPI,,20200541,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,5,,-,2,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200527,POINT (-100.230491 44.43614)
WYOMING,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20200556,POINT (-107.55145 42.999627)
MISSOURI,2020,5,,-,15,,7,,2,,,-,0,,,-,,-,MISSOURI,,20200524,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,5,4,,55,,25,,18,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20200509,
CALIFORNIA,2020,5,,-,23,,9,,13,,,-,0,,,-,,-,CALIFORNIA,,20200559,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,5,,-,1,,,-,1,,,-,0,,,-,,-,WEST VIRGINIA,,20200537,POINT (-80.613729 38.642579)
FLORIDA,2020,5,,-,21,,3,,2,,,-,0,,,-,,-,FLORIDA,,20200531,POINT (-82.420978 28.260731)
MONTANA,2020,5,,-,5,,,-,,-,,-,0,,,-,,-,MONTANA,,20200552,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,5,,-,23,,8,,14,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200520,
TOTAL,2020,4,8,,110,,70,,126,,,-,0,,,-,,-,,TOTAL,20200470,
NEW HAMPSHIRE,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200406,POINT (-71.57139 43.680429)
NEW YORK,2020,4,2,,4,,5,,2,,,-,0,,,-,,-,NEW YORK,,20200411,POINT (-75.59655 42.921241)
PACIFIC,2020,4,,-,28,,8,,10,,,-,0,,,-,,-,,PACIFIC,20200457,
WEST SOUTH CENTRAL,2020,4,2,,57,,2,,30,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200443,
NEBRASKA,2020,4,,-,19,,,-,3,,,-,0,,,-,,-,NEBRASKA,,20200425,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,4,,-,21,,,-,4,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200438,
NORTH DAKOTA,2020,4,,-,3,,,-,5,,,-,0,,,-,,-,NORTH DAKOTA,,20200426,POINT (-100.46931 47.446305)
NEVADA,2020,4,,-,0,,,-,1,,,-,0,,,-,,-,NEVADA,,20200453,POINT (-114.916992 39.283294)
ILLINOIS,2020,4,,-,7,,1,,14,,,-,0,,,-,,-,ILLINOIS,,20200415,POINT (-89.148632 40.124144)
IOWA,2020,4,,-,2,,,-,2,,,-,0,,,-,,-,IOWA,,20200421,POINT (-93.500061 42.074659)
TEXAS,2020,4,,-,42,,,-,20,,,-,0,,,-,,-,TEXAS,,20200447,POINT (-99.317341 31.447238)
ALASKA,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,ALASKA,,20200458,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,4,,-,1,,,-,1,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200430,POINT (-77.016275 38.904785)
WASHINGTON,2020,4,,-,4,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20200462,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,4,,-,8,,11,,13,,,-,0,,,-,,-,,NEW ENGLAND,20200402,
RHODE ISLAND,2020,4,,-,2,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200407,POINT (-71.534637 41.572574)
OREGON,2020,4,,-,5,,1,,,-,,-,0,,,-,,-,OREGON,,20200461,POINT (-120.605279 43.940449)
DELAWARE,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200429,POINT (-75.452394 38.994926)
ALABAMA,2020,4,,-,2,,,-,,-,,-,0,,,-,,-,ALABAMA,,20200439,POINT (-86.844516 32.756889)
KANSAS,2020,4,,-,2,,,-,,-,,-,0,,,-,,-,KANSAS,,20200422,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,4,,-,18,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,20200434,POINT (-79.130883 35.52603)
GUAM,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200466,POINT (144.653198 13.3532)
NEW JERSEY,2020,4,,-,5,,,-,1,,,-,0,,,-,,-,NEW JERSEY,,20200410,POINT (-74.655514 40.110253)
NEW MEXICO,2020,4,,-,8,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20200454,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,4,2,,17,,5,,31,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20200414,
TENNESSEE,2020,4,,-,21,,,-,2,,,-,0,,,-,,-,TENNESSEE,,20200442,POINT (-86.343226 35.842998)
CONNECTICUT,2020,4,,-,5,,9,,,-,,-,0,,,-,,-,CONNECTICUT,,20200403,POINT (-72.738288 41.575155)
MARYLAND,2020,4,,-,3,,,-,,-,,-,0,,,-,,-,MARYLAND,,20200433,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,4,,-,19,,8,,1,,,-,0,,,-,,-,SOUTH CAROLINA,,20200435,POINT (-80.864614 33.878572)
OKLAHOMA,2020,4,,-,2,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20200446,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200465,POINT (145.725693 15.1834)
OHIO,2020,4,2,,9,,3,,13,,,-,0,,,-,,-,OHIO,,20200418,POINT (-82.70936 40.415534)
MINNESOTA,2020,4,,-,6,,,-,1,,,-,0,,,-,,-,MINNESOTA,,20200423,POINT (-94.198308 46.349153)
LOUISIANA,2020,4,,-,19,,,-,9,,,-,0,,,-,,-,LOUISIANA,,20200445,POINT (-91.840238 30.921314)
HAWAII,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,HAWAII,,20200460,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,4,2,,28,,14,,5,,,-,0,,,-,,-,,SOUTH ATLANTIC,20200428,
PENNSYLVANIA,2020,4,,-,50,,8,,2,,,-,0,,,-,,-,PENNSYLVANIA,,20200413,POINT (-77.838886 40.896694)
UTAH,2020,4,,-,4,,,-,4,,,-,0,,,-,,-,UTAH,,20200455,POINT (-111.678222 39.323779)
COLORADO,2020,4,,-,6,,1,,4,,,-,0,,,-,,-,COLORADO,,20200450,POINT (-105.547832 38.998552)
VERMONT,2020,4,,-,1,,2,,2,,,-,0,,,-,,-,VERMONT,,20200408,POINT (-72.662695 44.075252)
KENTUCKY,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20200440,POINT (-85.290484 37.526683)
PUERTO RICO,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200467,POINT (-66.414655 18.215692)
MAINE,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,MAINE,,20200404,POINT (-69.06137 45.117911)
VIRGINIA,2020,4,1,,5,,3,,,-,,-,0,,,-,,-,VIRGINIA,,20200436,POINT (-78.666382 37.510861)
ARIZONA,2020,4,,-,10,,3,,1,,,-,0,,,-,,-,ARIZONA,,20200449,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200464,
WISCONSIN,2020,4,,-,6,,1,,1,,,-,0,,,-,,-,WISCONSIN,,20200419,POINT (-89.732969 44.639954)
US TERRITORIES,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201263,
IDAHO,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,IDAHO,,20200451,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200468,POINT (-64.840836 18.060868)
MICHIGAN,2020,4,,-,4,,,-,1,,,-,0,,,-,,-,MICHIGAN,,20200417,POINT (-85.730977 44.874798)
GEORGIA,2020,4,,-,2,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200432,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,4,,-,7,,6,,5,,,-,0,,,-,,-,,NEW YORK CITY,20200412,
ARKANSAS,2020,4,2,,13,,2,,1,,,-,0,,,-,,-,ARKANSAS,,20200444,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,4,,-,5,,,-,2,,,-,0,,,-,,-,MISSISSIPPI,,20200441,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,4,,-,2,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200427,POINT (-100.230491 44.43614)
WYOMING,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20200456,POINT (-107.55145 42.999627)
MISSOURI,2020,4,,-,15,,7,,2,,,-,0,,,-,,-,MISSOURI,,20200424,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,4,2,,55,,19,,10,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20200409,
CALIFORNIA,2020,4,,-,23,,7,,10,,,-,0,,,-,,-,CALIFORNIA,,20200459,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,4,,-,1,,,-,1,,,-,0,,,-,,-,WEST VIRGINIA,,20200437,POINT (-80.613729 38.642579)
FLORIDA,2020,4,1,,21,,3,,2,,,-,0,,,-,,-,FLORIDA,,20200431,POINT (-82.420978 28.260731)
MONTANA,2020,4,,-,5,,,-,,-,,-,0,,,-,,-,MONTANA,,20200452,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,4,,-,23,,7,,13,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200420,
MASSACHUSETTS,2020,4,,-,4,,,-,11,,,-,0,,,-,,-,MASSACHUSETTS,,20200405,POINT (-71.481104 42.151077)
MOUNTAIN,2020,4,,-,13,,4,,10,,,-,0,,,-,,-,,MOUNTAIN,20200448,
INDIANA,2020,4,,-,13,,,-,2,,,-,0,,,-,,-,INDIANA,,20200416,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200469,
US TERRITORIES,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200463,
MASSACHUSETTS,2020,5,,-,4,,6,,12,,,-,0,,,-,,-,MASSACHUSETTS,,20200505,POINT (-71.481104 42.151077)
MOUNTAIN,2020,5,,-,13,,4,,14,,,-,0,,,-,,-,,MOUNTAIN,20200548,
INDIANA,2020,5,,-,13,,2,,2,,,-,0,,,-,,-,INDIANA,,20200516,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200569,
US TERRITORIES,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200563,
TOTAL,2020,8,12,,110,,237,,272,,,-,0,,,-,,-,,TOTAL,20200870,
US RESIDENTS,2020,8,12,,110,,237,,272,,,-,0,,,-,,-,,US RESIDENTS,20200801,
NEW HAMPSHIRE,2020,8,,-,3,,4,,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200806,POINT (-71.57139 43.680429)
NEW YORK,2020,8,2,,4,,11,,3,,,-,0,,,-,,-,NEW YORK,,20200811,POINT (-75.59655 42.921241)
PACIFIC,2020,8,,-,34,,37,,25,,,-,0,,,-,,-,,PACIFIC,20200857,
WEST SOUTH CENTRAL,2020,8,,-,57,,7,,67,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200843,
NEBRASKA,2020,8,,-,19,,,-,3,,,-,0,,,-,,-,NEBRASKA,,20200825,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,8,,-,21,,2,,10,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200838,
NORTH DAKOTA,2020,8,,-,3,,,-,6,,,-,0,,,-,,-,NORTH DAKOTA,,20200826,POINT (-100.46931 47.446305)
NEVADA,2020,8,,-,0,,,-,1,,,-,0,,,-,,-,NEVADA,,20200853,POINT (-114.916992 39.283294)
ILLINOIS,2020,8,,-,7,,7,,25,,,-,0,,,-,,-,ILLINOIS,,20200815,POINT (-89.148632 40.124144)
IOWA,2020,8,,-,2,,2,,3,,,-,0,,,-,,-,IOWA,,20200821,POINT (-93.500061 42.074659)
TEXAS,2020,8,,-,42,,5,,44,,,-,0,,,-,,-,TEXAS,,20200847,POINT (-99.317341 31.447238)
ALASKA,2020,8,,-,1,,,-,,-,,-,0,,,-,,-,ALASKA,,20200858,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,8,,-,1,,,-,1,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200830,POINT (-77.016275 38.904785)
WASHINGTON,2020,8,,-,4,,,-,2,,,-,0,,,-,,-,WASHINGTON,,20200862,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,8,1,,9,,35,,19,,,-,0,,,-,,-,,NEW ENGLAND,20200802,
RHODE ISLAND,2020,8,,-,2,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200807,POINT (-71.534637 41.572574)
OREGON,2020,8,,-,5,,1,,1,,,-,0,,,-,,-,OREGON,,20200861,POINT (-120.605279 43.940449)
DELAWARE,2020,8,,-,1,,2,,,-,,-,0,,,-,,-,DELAWARE,,20200829,POINT (-75.452394 38.994926)
ALABAMA,2020,8,,-,2,,,-,2,,,-,0,,,-,,-,ALABAMA,,20200839,POINT (-86.844516 32.756889)
KANSAS,2020,8,,-,2,,,-,,-,,-,0,,,-,,-,KANSAS,,20200822,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,8,,-,18,,12,,,-,,-,0,,,-,,-,NORTH CAROLINA,,20200834,POINT (-79.130883 35.52603)
TOTAL,2020,11,9,,111,,336,,515,,,-,0,,,-,,-,,TOTAL,20201170,
GUAM,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200866,POINT (144.653198 13.3532)
NEW JERSEY,2020,8,,-,5,,,-,8,,,-,0,,,-,,-,NEW JERSEY,,20200810,POINT (-74.655514 40.110253)
NEW MEXICO,2020,8,,-,8,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20200854,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,8,,-,17,,17,,52,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20200814,
TENNESSEE,2020,8,,-,21,,,-,4,,,-,0,,,-,,-,TENNESSEE,,20200842,POINT (-86.343226 35.842998)
CONNECTICUT,2020,8,,-,6,,17,,,-,,-,0,,,-,,-,CONNECTICUT,,20200803,POINT (-72.738288 41.575155)
MARYLAND,2020,8,1,,3,,2,,1,,,-,0,,,-,,-,MARYLAND,,20200833,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,8,,-,19,,16,,2,,,-,0,,,-,,-,SOUTH CAROLINA,,20200835,POINT (-80.864614 33.878572)
OKLAHOMA,2020,8,,-,2,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20200846,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200865,POINT (145.725693 15.1834)
OHIO,2020,8,,-,4,,6,,19,,,-,0,,,-,,-,OHIO,,20200818,POINT (-82.70936 40.415534)
MINNESOTA,2020,8,,-,6,,1,,1,,,-,0,,,-,,-,MINNESOTA,,20200823,POINT (-94.198308 46.349153)
LOUISIANA,2020,8,,-,19,,,-,16,,,-,0,,,-,,-,LOUISIANA,,20200845,POINT (-91.840238 30.921314)
HAWAII,2020,8,,-,1,,,-,,-,,-,0,,,-,,-,HAWAII,,20200860,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,8,3,,28,,41,,16,,,-,0,,,-,,-,,SOUTH ATLANTIC,20200828,
PENNSYLVANIA,2020,8,,-,50,,19,,10,,,-,0,,,-,,-,PENNSYLVANIA,,20200813,POINT (-77.838886 40.896694)
UTAH,2020,8,,-,4,,,-,7,,,-,0,,,-,,-,UTAH,,20200855,POINT (-111.678222 39.323779)
COLORADO,2020,8,6,,6,,13,,18,,,-,0,,,-,,-,COLORADO,,20200850,POINT (-105.547832 38.998552)
VERMONT,2020,8,,-,1,,2,,2,,,-,0,,,-,,-,VERMONT,,20200808,POINT (-72.662695 44.075252)
KENTUCKY,2020,8,,-,1,,2,,,-,,-,0,,,-,,-,KENTUCKY,,20200840,POINT (-85.290484 37.526683)
PUERTO RICO,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200867,POINT (-66.414655 18.215692)
MAINE,2020,8,,-,1,,,-,,-,,-,0,,,-,,-,MAINE,,20200804,POINT (-69.06137 45.117911)
VIRGINIA,2020,8,,-,5,,3,,2,,,-,0,,,-,,-,VIRGINIA,,20200836,POINT (-78.666382 37.510861)
ARIZONA,2020,8,,-,10,,5,,1,,,-,0,,,-,,-,ARIZONA,,20200849,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200864,
WISCONSIN,2020,8,,-,6,,1,,3,,,-,0,,,-,,-,WISCONSIN,,20200819,POINT (-89.732969 44.639954)
IDAHO,2020,8,,-,1,,,-,,-,,-,0,,,-,,-,IDAHO,,20200851,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200868,POINT (-64.840836 18.060868)
MICHIGAN,2020,8,,-,4,,,-,1,,,-,0,,,-,,-,MICHIGAN,,20200817,POINT (-85.730977 44.874798)
GEORGIA,2020,8,,-,0,,,-,2,,,-,0,,,-,,-,GEORGIA,,20200832,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,8,,-,10,,35,,16,,,-,0,,,-,,-,,NEW YORK CITY,20200812,
ARKANSAS,2020,8,,-,13,,2,,7,,,-,0,,,-,,-,ARKANSAS,,20200844,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,8,,-,5,,,-,4,,,-,0,,,-,,-,MISSISSIPPI,,20200841,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,8,,-,2,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200827,POINT (-100.230491 44.43614)
WYOMING,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20200856,POINT (-107.55145 42.999627)
MISSOURI,2020,8,,-,15,,12,,3,,,-,0,,,-,,-,MISSOURI,,20200824,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,8,2,,55,,65,,37,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20200809,
CALIFORNIA,2020,8,,-,29,,36,,22,,,-,0,,,-,,-,CALIFORNIA,,20200859,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,8,,-,1,,,-,2,,,-,0,,,-,,-,WEST VIRGINIA,,20200837,POINT (-80.613729 38.642579)
FLORIDA,2020,8,2,,21,,6,,6,,,-,0,,,-,,-,FLORIDA,,20200831,POINT (-82.420978 28.260731)
